Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-10-24,130.49935083555,139.99652552647,115.49650227814,121.5017901204,639357.70943532
2006-10-25,128.01090047973,128.80451112716,122.49891380127,127.00475849605,115231.41037605
2006-10-26,129.400620943,129.400620943,120.99977126389,120.99977126389,56489.257011119
2006-10-27,120.99977126389,122.49891380127,119.99964148208,121.5017901204,51270.121477783
2006-10-30,123.40194652281,123.40194652281,115.9961162539,118.49779345385,25887.7866368
2006-10-31,119.80003637985,120.09794098272,117.9975782579,119.99964148208,16770.47123422
2006-11-02,120.39885168654,120.39885168654,119.00011292046,119.49732201547,48534.525350731
2006-11-03,119.99964148208,119.99964148208,118.79780232738,119.29801752333,7932.4257558969
2006-11-06,119.99964148208,123.00093265778,117.9975782579,120.99977126389,12003.699444008
2006-11-07,124.00286610015,127.60718112387,120.99977126389,127.40787663173,37907.546332042
2006-11-08,128.01090047973,128.01090047973,124.00286610015,128.01090047973,10282.575853308
2006-11-09,127.00475849605,127.90809182768,125.99801529218,125.99801529218,7624.1581558
2006-11-10,125.99801529218,125.99801529218,124.29896704247,125.20891379616,4992.061425594
2006-11-13,125.99801529218,125.99801529218,124.00286610015,124.00286610015,15380.3672662
2006-11-14,123.49844236289,124.50308129611,120.99977126389,123.00093265778,19265.609710838
2006-11-15,124.90169028038,124.90169028038,120.09794098272,121.20118002668,10138.033592192
2006-11-16,121.90039910467,124.90169028038,121.90039910467,123.00093265778,34848.068471749
2006-11-17,123.20053776001,124.50308129611,122.20100919839,123.00093265778,27806.986659401
2006-11-20,123.00093265778,124.00286610015,122.20100919839,123.49844236289,15217.088045309
2006-11-21,124.00286610015,125.69770580855,123.49844236289,125.00059100121,20628.946593466
2006-11-22,125.00059100121,126.90375350456,125.00059100121,126.50033475879,46957.497903055
2006-11-23,126.90375350456,126.90375350456,125.99801529218,126.50033475879,13393.803412029
2006-11-24,126.50033475879,129.00411622939,125.99801529218,128.39898811073,32616.13966815
2006-11-27,129.00411622939,135.00008515874,129.00411622939,134.39495704008,70608.002319178
2006-11-28,131.68946619659,134.69496591361,130.29704024248,134.69496591361,26032.328897917
2006-11-29,134.50017057288,138.00137633445,132.99862315475,137.79545842025,30917.321981943
2006-11-30,138.00137633445,139.39320106837,136.30022381408,137.30215725645,18987.678140852
2006-12-01,138.00137633445,139.90453883779,136.40543734688,139.48789324789,28732.681695872
2006-12-04,139.99652552647,146.99502911838,138.81302358749,145.19918441849,28259.796520614
2006-12-05,147.09783777043,147.49704797489,145.99940848798,146.99502911838,29752.061531214
2006-12-06,147.18501469761,147.99666195066,143.50705020094,144.49756045975,91753.999778799
2006-12-07,144.49756045975,147.49704797489,144.49756045975,146.99502911838,12153.149004113
2006-12-08,147.8893441472,147.8893441472,145.08976234438,146.21705019583,16238.698471101
2006-12-11,146.81977343374,146.81977343374,143.99794648399,144.29134193546,11858.264946713
2006-12-12,145.00649334842,145.00649334842,142.50030699707,143.39462202589,62364.186136556
2006-12-13,142.8054262422,143.99794648399,141.50949612817,141.50949612817,13298.334140798
2006-12-14,141.68896035412,143.80946395522,136.30022381408,139.99652552647,20383.135525951
2006-12-15,138.00137633445,141.99167471849,133.98672853281,141.99167471849,33268.364315533
2006-12-18,141.99167471849,143.90565918521,139.00811953832,143.80946395522,23953.864717233
2006-12-19,143.50705020094,143.90565918521,140.99875957893,143.50705020094,53305.758321839
2006-12-20,141.99167471849,145.00649334842,139.08868304343,140.99875957893,33634.627267313
2006-12-21,138.51271410386,139.99652552647,138.51271410386,139.08868304343,11822.575499523
2006-12-22,139.08868304343,139.99652552647,138.09787217453,139.00811953832,29674.883101668
2006-12-27,139.00811953832,141.89517887841,139.00811953832,140.99875957893,11203.80970888
2006-12-28,140.99875957893,141.99167471849,139.00811953832,141.99167471849,18971.171771527
2006-12-29,138.30198642817,150.00503798681,138.30198642817,150.00503798681,45829.711371875
2007-01-02,147.99666195066,148.90450443369,146.99502911838,146.99502911838,13205.095460016
2007-01-03,147.78833915571,147.78833915571,142.50030699707,144.20837354959,20808.732183683
2007-01-04,143.99794648399,143.99794648399,140.50515780505,141.50949612817,16561.241850074
2007-01-05,142.50030699707,149.49159594673,141.99167471849,146.89612839755,62160.756287578
2007-01-08,146.99502911838,149.3016103675,143.00893927564,149.3016103675,14243.212255133
2007-01-09,148.49176677502,153.99954491217,146.99502911838,153.00001635055,48239.641293324
2007-01-10,153.99954491217,155.01049665735,151.5898544009,153.99954491217,9802.1066705226
2007-01-11,152.50220603534,157.51217385729,152.50220603534,157.2004411901,17396.821032392
2007-01-12,159.00500358271,159.50461755847,155.59788878048,156.40051773071,30304.355726468
2007-01-15,157.98503353472,165.00999081487,155.97876176922,163.80424372896,14087.07092368
2007-01-16,165.00999081487,165.00999081487,159.39489487427,163.80424372896,15982.180569428
2007-01-17,163.01965138435,163.01965138435,160.00693702508,160.99534301323,14993.582882287
2007-01-18,161.90559037702,164.49023596283,160.00693702508,164.11567578605,33829.580872585
2007-01-19,163.99272625772,163.99272625772,160.80926536522,162.00178560701,12878.090900145
2007-01-22,160.21105127872,162.00178560701,159.70873181211,160.99534301323,36809.649712883
2007-01-23,161.49525759909,161.49525759909,155.97876176922,160.00693702508,27361.314687626
2007-01-24,160.10102798442,162.00178560701,159.00500358271,162.00178560701,12059.910323332
2007-01-25,163.09600634815,165.29256430297,163.09600634815,165.00999081487,39965.935198684
2007-01-26,164.11567578605,164.79054544646,160.00693702508,163.01965138435,18555.835829862
